Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily,MonthStart,Period,Is_Weekday,3_month_mean
2018,1,Jan,Monday,Normal Weekday,Metrobus,308450,2018-01-01,Pre-2020,True,308450.0
2018,1,Jan,Tuesday,Normal Weekday,Metrobus,359800,2018-01-01,Pre-2020,True,334125.0
2018,1,Jan,Wednesday,Normal Weekday,Metrobus,400250,2018-01-01,Pre-2020,True,356166.6666666667
2018,2,Feb,Friday,Normal Weekday,Metrobus,449650,2018-02-01,Pre-2020,True,403233.3333333333
2018,2,Feb,Monday,Normal Weekday,Metrobus,462750,2018-02-01,Pre-2020,True,437550.0
2018,2,Feb,Thursday,Normal Weekday,Metrobus,460750,2018-02-01,Pre-2020,True,457716.6666666667
2018,2,Feb,Tuesday,Normal Weekday,Metrobus,475950,2018-02-01,Pre-2020,True,466483.3333333333
2018,2,Feb,Wednesday,Normal Weekday,Metrobus,468400,2018-02-01,Pre-2020,True,468366.6666666667
2018,3,Mar,Friday,Normal Weekday,Metrobus,484100,2018-03-01,Pre-2020,True,476150.0
2018,3,Mar,Monday,Normal Weekday,Metrobus,478600,2018-03-01,Pre-2020,True,477033.3333333333
2018,3,Mar,Thursday,Normal Weekday,Metrobus,494500,2018-03-01,Pre-2020,True,485733.3333333333
2018,3,Mar,Tuesday,Normal Weekday,Metrobus,493050,2018-03-01,Pre-2020,True,488716.6666666667
2018,3,Mar,Wednesday,Normal Weekday,Metrobus,496900,2018-03-01,Pre-2020,True,494816.6666666667
2018,4,Apr,Friday,Normal Weekday,Metrobus,465700,2018-04-01,Pre-2020,True,485216.6666666667
2018,4,Apr,Monday,Normal Weekday,Metrobus,454600,2018-04-01,Pre-2020,True,472400.0
2018,4,Apr,Thursday,Normal Weekday,Metrobus,479050,2018-04-01,Pre-2020,True,466450.0
2018,4,Apr,Tuesday,Normal Weekday,Metrobus,473250,2018-04-01,Pre-2020,True,468966.6666666667
2018,4,Apr,Wednesday,Normal Weekday,Metrobus,480350,2018-04-01,Pre-2020,True,477550.0
2018,5,May,Friday,Normal Weekday,Metrobus,408450,2018-05-01,Pre-2020,True,454016.6666666667
2018,5,May,Monday,Normal Weekday,Metrobus,423800,2018-05-01,Pre-2020,True,437533.3333333333
2018,5,May,Thursday,Normal Weekday,Metrobus,437800,2018-05-01,Pre-2020,True,423350.0
2018,5,May,Tuesday,Normal Weekday,Metrobus,438950,2018-05-01,Pre-2020,True,433516.6666666667
2018,5,May,Wednesday,Normal Weekday,Metrobus,442900,2018-05-01,Pre-2020,True,439883.3333333333
2018,6,Jun,Friday,Normal Weekday,Metrobus,386150,2018-06-01,Pre-2020,True,422666.6666666667
2018,6,Jun,Monday,Normal Weekday,Metrobus,393000,2018-06-01,Pre-2020,True,407350.0
2018,6,Jun,Thursday,Normal Weekday,Metrobus,410350,2018-06-01,Pre-2020,True,396500.0
2018,6,Jun,Tuesday,Normal Weekday,Metrobus,405600,2018-06-01,Pre-2020,True,402983.3333333333
2018,6,Jun,Wednesday,Normal Weekday,Metrobus,409200,2018-06-01,Pre-2020,True,408383.3333333333
2018,7,Jul,Friday,Normal Weekday,Metrobus,420400,2018-07-01,Pre-2020,True,411733.3333333333
2018,7,Jul,Monday,Normal Weekday,Metrobus,405050,2018-07-01,Pre-2020,True,411550.0
2018,7,Jul,Thursday,Normal Weekday,Metrobus,436250,2018-07-01,Pre-2020,True,420566.6666666667
2018,7,Jul,Tuesday,Normal Weekday,Metrobus,419250,2018-07-01,Pre-2020,True,420183.3333333333
2018,7,Jul,Wednesday,Normal Weekday,Metrobus,437450,2018-07-01,Pre-2020,True,430983.3333333333
2018,8,Aug,Friday,Normal Weekday,Metrobus,443850,2018-08-01,Pre-2020,True,433516.6666666667
2018,8,Aug,Monday,Normal Weekday,Metrobus,445500,2018-08-01,Pre-2020,True,442266.6666666667
2018,8,Aug,Thursday,Normal Weekday,Metrobus,460350,2018-08-01,Pre-2020,True,449900.0
2018,8,Aug,Tuesday,Normal Weekday,Metrobus,463400,2018-08-01,Pre-2020,True,456416.6666666667
2018,8,Aug,Wednesday,Normal Weekday,Metrobus,465950,2018-08-01,Pre-2020,True,463233.3333333333
2018,9,Sep,Friday,Normal Weekday,Metrobus,445650,2018-09-01,Pre-2020,True,458333.3333333333
2018,9,Sep,Monday,Normal Weekday,Metrobus,439500,2018-09-01,Pre-2020,True,450366.6666666667
2018,9,Sep,Thursday,Normal Weekday,Metrobus,457400,2018-09-01,Pre-2020,True,447516.6666666667
2018,9,Sep,Tuesday,Normal Weekday,Metrobus,454400,2018-09-01,Pre-2020,True,450433.3333333333
2018,9,Sep,Wednesday,Normal Weekday,Metrobus,457200,2018-09-01,Pre-2020,True,456333.3333333333
2018,10,Oct,Friday,Normal Weekday,Metrobus,448800,2018-10-01,Pre-2020,True,453466.6666666667
2018,10,Oct,Monday,Normal Weekday,Metrobus,434900,2018-10-01,Pre-2020,True,446966.6666666667
2018,10,Oct,Thursday,Normal Weekday,Metrobus,457550,2018-10-01,Pre-2020,True,447083.3333333333
2018,10,Oct,Tuesday,Normal Weekday,Metrobus,438250,2018-10-01,Pre-2020,True,443566.6666666667
2018,10,Oct,Wednesday,Normal Weekday,Metrobus,450400,2018-10-01,Pre-2020,True,448733.3333333333
2018,11,Nov,Friday,Normal Weekday,Metrobus,417050,2018-11-01,Pre-2020,True,435233.3333333333
2018,11,Nov,Monday,Normal Weekday,Metrobus,398800,2018-11-01,Pre-2020,True,422083.3333333333
2018,11,Nov,Thursday,Normal Weekday,Metrobus,440050,2018-11-01,Pre-2020,True,418633.3333333333
2018,11,Nov,Tuesday,Normal Weekday,Metrobus,425650,2018-11-01,Pre-2020,True,421500.0
2018,11,Nov,Wednesday,Normal Weekday,Metrobus,432450,2018-11-01,Pre-2020,True,432716.6666666667
